@rchitecture, 32 Castell Coch View,Tongwynlais, CARDIFF,CF15 7LA,02920520800,,www.atrchitecture.co.uk,"The practice provides an efficient, personal service to all clients and has a wide variety of experience of building types."
10Architect,64 Jersey Street,Manchester,,M4 6JW,07802 443 075,,www.10architect.com,"The practice provides an efficient, personal service to all clients and has a wide variety of experience of building types."
1st Architects lse,128 Robinson Road,London,,SW17 9DR,020 8767 1311,,www.1st-architects.com,"Specialists in residential conversion, extension and refurbishment, new build houses, for private clients. Traditional and contemporary design solutions, feasibility studies to full project design and management."
2030 Architects Ltd, 13b Angel Lane,Penrith, Cumbria,CA11 7BP,01768 864224,,www.2030architects.co.uk,"We specialise in sustainable new-build and eco-refurbishment for domestic and commercial properties within The Lake District, Cumbria, North Lancashire, North Yorkshire and Northumberland."
23 Architecture,318 Kensal Road,LONDON,,W10 5BZ,020 8962 8666,,23arc.com,23 Architecture produce high quality design work whilst maintaining a practical approach to the requirements of the client / end user.
2M Architects, 4 St. Marys Way,CHIGWELL, Essex,IG7 5BX,02082799274,,www.2m-architects.com,"2M Architects is an innovative, design led practice that works closely with its clients to provide a bespoke, tailored, friendly, affordable, all encompassing architectural service."
2PM Architects,124 Boundary Road,London,,NW8 0RH,020 7604 4339,,www.2pm-architects.co.uk,"2PM Architects are a creative London based Chartered Architects Practice. We work on a wide range of projects including new build houses, house extensions, renovations, residential refurbishments and loft conversions. We also undertake interior design projects and larger residential and commercial developments and we have experience in working on large scale projects in the UK, China and Germany. 2PM Architects offer full architectural services, guidance and expertise at every stage of a project, and we specialise in working with home owners, developers and other clients to add value and create high quality architectural design on projects in London and across the UK."
2Scale Architects and Designers Ltd, 95 Copthorne Road,SHREWSBURY, Shropshire,SY3 8ND,01743 241521,,www.2scalearchitects.co.uk,With a combined experience of 50 years in Architecture and Interior Design the Directors of 2Scale Architects & Designers delight in offering a first class service for reasonable remuneration. We pride ourselves in our innovative design skills and attention to detail to ensure that we provide our Clients with full customer satisfaction.
31/44 Architects,6 Osborn Street,LONDON,,E1 6TD,020 3735 7820,,www.3144architects.com,"31/44 Architects was established in 2010 by William Burges, James Jeffries and Stephen Davies. The practice name references their locations with studios in both the Netherlands (Amsterdam) and the UK (London). Their current team of ten, comprising architects and architectural assistants is predominantly based in their East London studio near Brick Lane.  The practice works on projects ranging in scale from strategic masterplanning through to smaller scale residential work. During 2015 they completed a family home in the Netherlands and a mixed-use retail and hotel building in Shoreditch, London.  Projects currently in development include refurbishing the conference facilities at The Barbican in London, apartment buildings and a further East London hotel. During 2016 they will complete a number of one-off individual new-build homes dotted around London.  Buildings are characterised by a thoughtful response to context – they are not conceived in isolation, but instead grow out of the particular conditions of each setting, resulting in buildings with an inherent connection to their site whilst ensuring that they are a close reflection of their clients’ requirements.  Careful detailing and craftsmanship of work is common to all 31/44 projects with all projects drawn, tested and coordinated with both CAD and physical models. In both London and Amsterdam they have assembled strong consultant partners with which to deliver projects ensuring they deliver economic, robust and thoughtful buildings.  They teach an undergraduate studio at Kingston University, London and are regular professional practice examiners at a number of architecture schools. Teaching has become a fundamental part of the practice; the constant articulation of ideas, observations and proposals required in the teaching studio transfers to their design studio. It is an essential discipline that continues to help define 31/44."
310 Studio Ltd,62 Bedminster Parade,Bristol,,BS3 4HL,020 3488 8310,,www.310studio.co.uk,"3|10 Studio is an architectural design practice based in Bristol delivering projects in Housing, Education and the Arts throughout the UK, Ireland and further afield.    We work hard to invest what we understand to have value into all our projects regardless of scale."
32 Design,137-139 Brent Street,LONDON,,NW4 4DJ,020 8343 4850,,www.32design.net,"We help you define, imagine and realise your project  Our aim is to make the process of building your project as enjoyable and rewarding as possible. How do we achieve this?  We offer a friendly, professional service tailored to suit your needs, aspirations & budget. We collaborate effectively with other professionals/consultants as well as our clients. We pride ourselves on quality of design and service. We keep up to date on the latest building technology and materials. Our fees will be clear without any hidden costs.  We enjoy working on a diverse range of project types including residential, community and commercial projects."
